URL,Title,Image,Images_num,h1_num,h2_num,Paragraphs_num,Paragraphs_Word_Count_avg,Quotes_num,Publication,Writer,Date,Read_Time,Claps,Responses
https://onezero.medium.com/survival-of-the-richest-9ef6cddd0cc1,survival of the richest,https://miro.medium.com/max/30/1*4Tuy2sflhKdOt6ity_Eo_A.jpeg?q=20,2,1,1,33,72,3,,OneZero,5-Jul-18,9,91000,231
https://medium.muz.li/optical-effects-9fca82b4cd9a,optical effects,https://miro.medium.com/max/2000/1*-i9M1D3PQv8VdZ9BgL90Kg.png,60,6,4,66,40,0,Muzli - Design Inspiration,Slava Shestopalov,13-Sep-17,14,96000,199
https://medium.com/refraction-tech-everything/how-netflix-works-the-hugely-simplified-complex-stuff-that-happens-every-time-you-hit-play-3a40c9be254b,how netflix works the hugely simplified complex stuff that happens every time you hit play,https://miro.medium.com/max/2712/1*T2CzKMo8aU02pxQmcYS4Bg.png,9,5,0,24,88,0,Refraction: tech + everything,Mayukh Nair,17-Oct-17,11,87000,199
https://medium.com/the-mission/the-greatest-sales-deck-ive-ever-seen-4f4ef3391ba0,the greatest sales deck ive ever seen,https://miro.medium.com/max/2000/1*cWrckQhDDGxKiwpb6YtPtg.jpeg,12,9,0,52,38,2,Mission.org,Andy Raskin,15-Sep-16,8,95000,320
https://humanparts.medium.com/todays-problem-with-masculinity-isn-t-what-you-think-b43e80edcf60,todays problem with masculinity isn t what you think,https://miro.medium.com/max/1000/1*xWu9HOkmF5NR4TH8yJbPKg.jpeg,5,6,0,50,61,6,,Human Parts,5-Apr-18,11,84000,196
https://medium.com/@IjeomaOluo/the-anger-of-the-white-male-lie-6f9a6e646d47,the anger of the white male lie,,0,1,9,38,68,0,,Ijeoma Oluo,23-Mar-18,9,116000,568
https://medium.com/@vanflymen/learn-blockchains-by-building-one-117428612f46,learn blockchains by building one,https://miro.medium.com/max/3600/1*zutLn_-fZZhy7Ari-x-JWQ.jpeg,16,6,11,61,33,2,,Daniel van Flymen,24-Sep-17,9,81000,329
https://betterprogramming.pub/the-secret-to-being-a-top-developer-is-building-things-heres-a-list-of-fun-apps-to-build-aac61ac0736c,the secret to being a top developer is building things heres a list of fun apps to build,https://miro.medium.com/max/1400/1*CFM9_VhPRrGG755enCmClw.jpeg,9,10,1,29,19,0,Better Programming,Trevor-Indrek Lasn,2-Dec-17,5,87000,115
https://medium.com/thrive-global/21-quotes-that-if-applied-change-boys-into-men-3e124aff36f8,21 quotes that if applied change boys into men,https://miro.medium.com/max/2000/1*Vf-uXq7AZEF_mf3rRUE-Sg.jpeg,1,23,1,33,130,1,Thrive Global,Ryan Holiday,6-Sep-18,16,90000,297
https://medium.com/edge-coders/the-mistakes-i-made-as-a-beginner-programmer-ac8b3e54c312,the mistakes i made as a beginner programmer,https://miro.medium.com/max/1000/1*VWm67Y5nT9RR0zLGr-aMVQ.jpeg,5,26,1,184,38,13,EdgeCoders,Samer Buna,14-Feb-18,29,79000,171
https://preethikasireddy.medium.com/why-im-leaving-silicon-valley-72919edb3297,why im leaving silicon valley,https://miro.medium.com/max/2560/1*lQmfsqvoO4P3ttSCTYBW-w.jpeg,4,12,9,57,50,1,,Preethi Kasireddy,19-Nov-17,12,76000,602
https://krisgage.medium.com/how-to-really-know-youre-in-love-d8d433a0f0bf,how to really know youre in love,https://miro.medium.com/max/1000/1*6OXHRhwHdlz8B5Ra1Qid3A.png,1,6,21,54,20,3,,Kris Gage,3-Aug-17,4,97000,434
https://medium.com/@skydart/rose-colored-glasses-6be0594970ca,rose colored glasses,,1,2,9,49,60,0,,Chloe Dykstra,14-Jun-18,11,70000,391
https://krisgage.medium.com/8-things-i-learned-reading-50-books-a-year-for-7-years-cb11c4acffb1,8 things i learned reading 50 books a year for 7 years,https://miro.medium.com/max/1000/1*Q9WYphOcg2Sj3ZOqblU-RA.jpeg,4,10,0,46,36,1,,Kris Gage,5-Mar-18,7,84000,396
https://medium.com/s/story/the-trick-to-thinking-clearer-and-better-4a61c54114fa,the trick to thinking clearer and better,https://miro.medium.com/max/700/1*lgjW1gHNp4Ua29cL-BMkvQ.jpeg,1,5,0,30,52,4,,Zat Rana,15-Sep-18,6,75000,198
https://javascript.plainenglish.io/i-created-the-exact-same-app-in-react-and-vue-here-are-the-differences-e9a1ae8077fd,i created the exact same app in react and vue here are the differences,https://miro.medium.com/max/1400/1*WRzDZndJCduHwqgOpWmbhQ.png,7,8,22,76,40,1,JavaScript in Plain English,Sunil Sandhu,24-Jul-18,13,100000,170
https://medium.com/littlephilnews/how-blockchain-can-empower-refugees-celebrating-world-refugee-day-47c6c7e5f3ed,how blockchain can empower refugees celebrating world refugee day,https://miro.medium.com/max/12032/1*IQD4r-azJcOJpfq1mi3Gsw.jpeg,2,2,4,12,79,2,LittlePhilNews,Little Phil,20-Jun-18,5,71000,7
https://medium.com/@ShopinApp/shopin-continues-to-make-blockchain-history-partners-with-qryptos-sweeps-awards-increases-d78dd5ba066a,shopin continues to make blockchain history partners with qryptos sweeps awards increases,https://miro.medium.com/max/1400/1*3r2auDWClRemzIV1xL9LLQ.jpeg,8,0,9,1,2,0,,Shopin,1-Aug-18,7,65000,2
https://medium.com/free-code-camp/how-i-went-from-programming-with-a-feature-phone-to-working-for-an-mit-startup-40ca3be4fa0f,how i went from programming with a feature phone to working for an mit startup,https://miro.medium.com/max/2000/1*wD_pWV3M0ZnAAimGMD_i0g.jpeg,8,4,1,61,39,1,We’ve moved to freeCodeCamp.org/news,Elvis Chidera,15-Dec-17,10,68000,200
https://medium.com/words-for-life/dear-people-who-hate-clapping-8497747199e6,dear people who hate clapping,https://miro.medium.com/max/1324/1*J6SDJ0kpPDWDcSxIDe20QA.jpeg,1,5,1,18,24,1,Words for Life,Luke Trayser,24-Aug-17,2,66000,148
https://ryanholiday.medium.com/how-to-digest-books-above-your-level-and-increase-your-intelligence-a11bd134da13,how to digest books above your level and increase your intelligence,https://miro.medium.com/max/2000/1*YLlZ96J3p8GFkIh1USVMzg.jpeg,1,6,0,50,47,3,,Ryan Holiday,17-Jan-18,8,88000,344
https://startupsventurecapital.com/you-fired-your-top-talent-i-hope-youre-happy-cf57c41183dd,you fired your top talent i hope youre happy,,7,1,1,61,38,0,Startups & Venture Capital,Tony Robinson,16-Oct-17,9,66000,188
https://monteiro.medium.com/one-persons-history-of-twitter-from-beginning-to-end-5b41abed6c20,one persons history of twitter from beginning to end,,9,1,9,49,65,2,,Mike Monteiro,15-Oct-17,12,65000,225
https://eand.co/the-age-of-the-imbecile-c52ee205d94c,the age of the imbecile,https://miro.medium.com/max/3000/1*dDgGyuO8WEJkk_8vBXe20Q.jpeg,1,1,0,23,109,0,Eudaimonia and Co,umair haque,13-Mar-18,8,67000,354
https://medium.com/hackernoon/wtf-is-the-blockchain-1da89ba19348,wtf is the blockchain,https://miro.medium.com/max/5120/1*dcRQxEbvbfPa1ESsylcDng.png,27,7,9,108,36,20,HackerNoon.com,Mohit Mamoria,30-Jun-17,16,89000,337
https://medium.com/free-code-camp/tor-signal-and-beyond-a-law-abiding-citizens-guide-to-privacy-1a593f2104c3,tor signal and beyond a law abiding citizens guide to privacy,https://miro.medium.com/max/2586/1*heFbQfGHtoU_6vfRQSZkDg.jpeg,12,10,8,46,27,3,We’ve moved to freeCodeCamp.org/news,Quincy Larson,9-Nov-16,6,71000,310
https://medium.com/littlephilnews/charlie-teo-wtf-whats-the-fuss-9252b5e6f547,charlie teo wtf whats the fuss,https://miro.medium.com/max/9216/1*OIfcKZeX0-84onMx6qErOw.jpeg,3,1,1,9,71,1,LittlePhilNews,Little Phil,6-Jul-18,3,65000,4
https://medium.com/@ageitgey/machine-learning-is-fun-80ea3ec3c471,machine learning is fun,https://miro.medium.com/max/1400/1*YXiclXZdJQVJZ0tQHCv5zw.png,12,10,5,77,44,0,,Adam Geitgey,5-May-14,15,86000,260
https://medium.com/the-node-js-collection/modern-javascript-explained-for-dinosaurs-f695e9747b70,modern javascript explained for dinosaurs,https://miro.medium.com/max/1400/1*H8PH-HaV43gZyBJz0mJHxA.png,7,7,1,67,57,3,Node.js Collection,Peter Jang,18-Oct-17,16,72000,213
https://medium.com/words-for-life/dear-people-who-hate-clapping-8497747199e6,dear people who hate clapping,https://miro.medium.com/max/1324/1*J6SDJ0kpPDWDcSxIDe20QA.jpeg,1,5,1,18,24,1,Words for Life,Luke Trayser,"Aug 24, 2017",2,66000,148
https://ryanholiday.medium.com/how-to-digest-books-above-your-level-and-increase-your-intelligence-a11bd134da13,how to digest books above your level and increase your intelligence,https://miro.medium.com/max/2000/1*YLlZ96J3p8GFkIh1USVMzg.jpeg,1,6,0,50,47,3,,Ryan Holiday,"Jan 17, 2018",8,88000,344
https://startupsventurecapital.com/you-fired-your-top-talent-i-hope-youre-happy-cf57c41183dd,you fired your top talent i hope youre happy,,7,1,1,61,38,0,Startups & Venture Capital,Tony Robinson,"Oct 16, 2017",9,66000,188
https://monteiro.medium.com/one-persons-history-of-twitter-from-beginning-to-end-5b41abed6c20,one persons history of twitter from beginning to end,,9,1,9,49,65,2,,Mike Monteiro,"Oct 15, 2017",12,65000,225
https://eand.co/the-age-of-the-imbecile-c52ee205d94c,the age of the imbecile,https://miro.medium.com/max/3000/1*dDgGyuO8WEJkk_8vBXe20Q.jpeg,1,1,0,23,109,0,Eudaimonia and Co,umair haque,"Mar 13, 2018",8,67000,354
https://medium.com/hackernoon/wtf-is-the-blockchain-1da89ba19348,wtf is the blockchain,https://miro.medium.com/max/5120/1*dcRQxEbvbfPa1ESsylcDng.png,27,7,9,108,36,20,HackerNoon.com,Mohit Mamoria,"Jun 30, 2017",16,89000,337
https://medium.com/free-code-camp/tor-signal-and-beyond-a-law-abiding-citizens-guide-to-privacy-1a593f2104c3,tor signal and beyond a law abiding citizens guide to privacy,https://miro.medium.com/max/2586/1*heFbQfGHtoU_6vfRQSZkDg.jpeg,12,10,8,46,27,3,We’ve moved to freeCodeCamp.org/news,Quincy Larson,"Nov 9, 2016",6,71000,310
https://medium.com/littlephilnews/charlie-teo-wtf-whats-the-fuss-9252b5e6f547,charlie teo wtf whats the fuss,https://miro.medium.com/max/9216/1*OIfcKZeX0-84onMx6qErOw.jpeg,3,1,1,9,71,1,LittlePhilNews,Little Phil,"Jul 6, 2018",3,65000,4
https://medium.com/@ageitgey/machine-learning-is-fun-80ea3ec3c471,machine learning is fun,https://miro.medium.com/max/1400/1*YXiclXZdJQVJZ0tQHCv5zw.png,12,10,5,77,44,0,,Adam Geitgey,"May 5, 2014",15,86000,260
https://medium.com/the-node-js-collection/modern-javascript-explained-for-dinosaurs-f695e9747b70,modern javascript explained for dinosaurs,https://miro.medium.com/max/1400/1*H8PH-HaV43gZyBJz0mJHxA.png,7,7,1,67,57,3,Node.js Collection,Peter Jang,"Oct 18, 2017",16,72000,213
https://medium.com/the-mission/why-most-people-will-remain-in-mediocrity-6c7e24c48d12,why most people will remain in mediocrity,https://miro.medium.com/max/3089/1*donDaCF-xRtd5UYcSX-Z1A.jpeg,4,8,0,95,24,17,Mission.org,Anthony Moore,"Nov 17, 2017",8,63000,242
https://medium.com/free-code-camp/https-explained-with-carrier-pigeons-7029d2193351,https explained with carrier pigeons,https://miro.medium.com/max/700/1*vHF6NNdZX9ziiW_uRYzvAA.png,1,8,1,32,39,0,We’ve moved to freeCodeCamp.org/news,Andrea Zanin,"Jan 11, 2018",5,63000,190
https://medium.com/@tonyszhou/postmortem-1b338537fabc,postmortem,,22,8,9,112,40,2,,Tony Zhou,"Dec 3, 2017",16,67000,211
https://medium.com/@MiguelCuneta_21450/dont-fall-for-the-hype-why-bitcoin-s-10-000-price-doesn-t-reflect-its-true-value-6b42a59fce0a,dont fall for the hype why bitcoin s 10 000 price doesn t reflect its true value,https://miro.medium.com/max/1400/0*a_Mtk0JVznSg_0vo.,12,1,9,1,2,0,,Miguel Cuneta,"Dec 2, 2017",12,60000,250
https://medium.com/s/story/spotifys-discover-weekly-how-machine-learning-finds-your-new-music-19a41ab76efe,spotifys discover weekly how machine learning finds your new music,https://miro.medium.com/max/700/1*FXgfbYapq_y3RPXA2ymRCw.jpeg,17,6,0,1,2,1,,Sophia Ciocca,"Oct 10, 2017",9,79000,171
